Team,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Manchester U,1,1,1,3,1,3,3,2,1,1,1,2,1,2,1,7,4,5,6,2,6,3
Arsenal FC,2,2,2,1,2,1,2,4,4,3,4,3,4,3,4,4,3,2,5,6,5,8
Leeds,4,3,4,5,15,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liverpool FC,7,4,3,2,5,4,5,3,3,4,2,7,6,8,7,2,6,8,4,4,2,1
Chelsea FC,3,5,6,6,4,2,1,1,2,2,3,1,2,6,3,3,1,10,1,5,3,4
Aston Villa,6,6,8,8,16,6,10,16,11,6,6,6,9,16,15,15,17,20,-1,-1,-1,17
Sunderland AFC,-1,7,7,17,20,-1,-1,20,-1,15,16,13,10,13,17,14,16,17,20,-1,-1,-1
Leicester City,10,8,13,20,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,1,12,9,9,5
West Ham,5,9,15,7,18,-1,-1,9,15,10,9,17,20,-1,10,13,12,7,11,13,10,16
Tottenham,11,10,12,9,10,14,9,5,5,11,8,4,5,4,5,6,5,3,2,3,4,6
Newcastle,13,11,11,4,3,5,14,7,13,12,18,-1,12,5,16,10,15,18,-1,10,13,13
Middlesbrough,9,12,14,12,11,11,7,14,12,13,19,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1
Everton,14,13,16,15,7,17,4,11,6,5,5,8,7,7,6,5,11,11,7,8,8,12
Coventry,15,14,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Southhampton,17,15,10,11,8,12,20,-1,-1,-1,-1,-1,-1,-1,14,8,7,6,8,17,16,11
Derby,8,16,17,19,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bradford,-1,17,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AFC Wimbledon,16,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sheffield W,12,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Watford,-1,20,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,13,17,14,11,19
Manchester C,-1,-1,18,-1,9,16,8,15,14,9,10,5,3,1,2,1,2,4,3,1,1,2
Ipswich,-1,-1,5,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1
Charlton,18,-1,9,14,12,7,11,13,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fulham,-1,-1,-1,13,14,9,13,12,16,17,7,12,8,9,12,19,-1,-1,-1,-1,19,-1
Bolton,-1,-1,-1,16,17,8,6,8,7,16,13,14,14,18,-1,-1,-1,-1,-1,-1,-1,-1
Blackburn,19,-1,-1,10,6,15,15,6,10,7,15,10,15,19,-1,-1,-1,-1,-1,-1,-1,-1
West Bromwich,-1,-1,-1,-1,19,-1,17,19,-1,-1,20,-1,11,10,8,17,13,14,10,20,-1,-1
Birmingham,-1,-1,-1,-1,13,10,12,18,-1,19,-1,9,18,-1,-1,-1,-1,-1,-1,-1,-1,-1
Wolverhampton,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,15,17,20,-1,-1,-1,-1,-1,-1,7,7
Portsmouth,-1,-1,-1,-1,-1,13,16,17,9,8,14,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Crystal P,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,11,10,15,14,11,12,14
Norwich,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,12,11,18,-1,19,-1,-1,-1,20
Wigan,-1,-1,-1,-1,-1,-1,-1,10,17,14,11,16,16,15,18,-1,-1,-1,-1,-1,-1,-1
Sheffield U,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
Reading,-1,-1,-1,-1,-1,-1,-1,-1,8,18,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1
Stoke,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,11,13,14,13,9,9,9,13,19,-1,-1
Hull,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,19,-1,-1,-1,16,18,-1,18,-1,-1,-1
Burnley,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,19,-1,16,7,15,10
Blackpool,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1
Swansea,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,9,12,8,12,15,18,-1,-1
Queens PR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,20,-1,20,-1,-1,-1,-1,-1
Cardiff,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,18,-1
Bournemouth,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,9,12,14,18
Brighton,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,17,15
Huddersfield,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,20,-1
Nottingham,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,,,,,
,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
