omg,produktnamn,correctRow,utd13,utd12,utd11,utd10
202041,Europatipset,2X1X2XX11X11X,141700,2737,129,38
202040,Stryktipset,X11X121X1X112,69288,1162,84,27
202040,Europatipset,X22212X122212,1891708,44463,1197,226
202040,Europatipset,1211X221X12XX,320080,6423,229,53
202039,Stryktipset,X22XX22X2X21X,1500000,12037,710,175
202039,Europatipset,X22112211XX12,6721,170,0,0
202039,Europatipset,2X1X212X22X1X,2297996,20414,622,129
202038,Stryktipset,211111XX12XX1,272727,1223,76,21
202038,Europatipset,21X1112112X21,196714,3277,130,33
202038,Europatipset,2211X2XXX11XX,359505,7757,334,85
202037,Stryktipset,112211222X211,468750,3281,207,57
202037,Europatipset,21X12222X1X21,26051,621,31,0
202037,Europatipset,22XX22X1X2211,3438196,43190,1291,269
202036,Stryktipset,2122222211X12,34687,515,38,0
202036,Europatipset,X12X21XXX12X2,2003957,28493,1015,217
202036,Europatipset,X12X212X22222,210870,7674,372,95
202035,Stryktipset,X12111112X1XX,4333333,14604,761,183
202035,Europatipset,22X2X2X11X111,187903,4524,229,69
202035,Europatipset,21XXX12112212,10000000,39412,997,198
202034,Stryktipset,X121X2X222111,500000,3346,196,49
202034,Europatipset,2112221212X21,309,16,0,0
202034,Europatipset,21211XX1222X1,303488,4968,208,55
202033,Stryktipset,2X111222XXXX1,10000000,56540,2039,416
202033,Europatipset,211XX111122X2,106956,3104,121,32
202033,Europatipset,1XXX1122212X1,1684737,9138,328,82
202032,Stryktipset,11222XX12212X,2000000,6436,311,70
202032,Europatipset,1111X12121X2X,20904,591,32,0
202032,Europatipset,221X2212X1121,596188,8623,315,73
202031,Stryktipset,1X11X2X2XX2X2,10000000,16665,859,199
202031,Europatipset,2221X2X1XXXX2,154861,3181,135,39
202031,Europatipset,2XXX2X1111211,59203,1424,81,28
202030,Stryktipset,211211X2X1212,160714,1642,108,30
202030,Europatipset,1X1X2X11XXX12,1197923,9541,445,124
202030,Europatipset,2X2XX12XX1221,70272,1660,80,24
202029,Stryktipset,1212211112212,20429,388,33,0
202029,Europatipset,12X111XX1XX12,22262,594,33,0
202029,Europatipset,212X1X11X1XX2,10000000,28026,740,153
202028,Stryktipset,X21X22X211112,2000000,12058,604,138
202028,Europatipset,2112X21211121,3783,117,0,0
202028,Europatipset,1111121XXX211,3762891,24586,739,166
202027,Stryktipset,1121221X121XX,2948,72,0,0
202027,Europatipset,1211X1X22X21X,10000000,68384,1414,268
202027,Europatipset,X11X1111222X2,287476,4133,215,67
202026,Stryktipset,XX121222221X1,184216,2371,148,41
202026,Europatipset,11X2122111X2X,24367,538,27,0
202026,Europatipset,22212212X11XX,106240,1527,71,22
202025,Stryktipset,1221XXXX22X12,2669162,15279,880,224
202025,Europatipset,1XX1X22XX222X,819338,26410,1167,240
202025,Europatipset,X12111222X1XX,94468,1722,71,20
202024,Europatipset,11X121X11XX22,14545,419,24,0
202024,Europatipset,1XX21221XX12X,149543,2376,110,32
202023,Europatipset,1122111211XXX,224813,1542,57,15
202023,Europatipset,212XX22XX11X2,2204119,46049,1267,267
202022,Europatipset,22XX22X2XX11X,10000000,112089,2888,644
202022,Europatipset,1122212X21122,2438,51,0,0
202021,Europatipset,1222X22X11XXX,2158478,18639,641,143
202020,Europatipset,12X2X2X22XX11,10000000,16530,461,100
202011,Stryktipset,1212111211111,1113,22,0,0
202011,Europatipset,11111X2212121,12751,305,17,0
202011,Europatipset,1X2122X2X11X1,587063,19877,633,152
202010,Stryktipset,1112XX2X12121,266666,2122,131,36
202010,Europatipset,2X1X2211XX1X1,77960,1241,54,16
202010,Europatipset,111X12X11X2X1,2699192,29281,831,157
202009,Stryktipset,X1X1X1X2XX11X,4305737,28968,1252,246
202009,Europatipset,21122XXX211X1,10000000,108284,2263,366
202009,Europatipset,X221X2X12X221,806139,6472,225,55
202008,Stryktipset,2111XX21X1111,8319,167,16,0
202008,Europatipset,1X211X111112X,4608,115,0,0
202008,Europatipset,111X212111X12,17723,274,16,0
202007,Stryktipset,212X22X12X221,1613884,14258,899,229
202007,Europatipset,21121X2221111,515640,5168,197,49
202007,Europatipset,12122222X2121,593536,8116,300,71
202006,Stryktipset,X12112X121212,6486,141,0,0
202006,Europatipset,1X2XX1X212222,136643,2846,108,27
202006,Europatipset,21121X122111X,30388,638,30,0
202005,Stryktipset,1X12X2XX11X2X,333333,2846,178,50
