omg,produktnamn,correctRow,utd13,utd12,utd11,utd10
202040,Stryktipset,X11X121X1X112,69288,1162,84,27
202039,Stryktipset,X22XX22X2X21X,1500000,12037,710,175
202038,Stryktipset,211111XX12XX1,272727,1223,76,21
202037,Stryktipset,112211222X211,468750,3281,207,57
202036,Stryktipset,2122222211X12,34687,515,38,0
202035,Stryktipset,X12111112X1XX,4333333,14604,761,183
202034,Stryktipset,X121X2X222111,500000,3346,196,49
202033,Stryktipset,2X111222XXXX1,10000000,56540,2039,416
202032,Stryktipset,11222XX12212X,2000000,6436,311,70
202031,Stryktipset,1X11X2X2XX2X2,10000000,16665,859,199
202030,Stryktipset,211211X2X1212,160714,1642,108,30
202029,Stryktipset,1212211112212,20429,388,33,0
202028,Stryktipset,X21X22X211112,2000000,12058,604,138
202027,Stryktipset,1121221X121XX,2948,72,0,0
202026,Stryktipset,XX121222221X1,184216,2371,148,41
202025,Stryktipset,1221XXXX22X12,2669162,15279,880,224
202011,Stryktipset,1212111211111,1113,22,0,0
202010,Stryktipset,1112XX2X12121,266666,2122,131,36
202009,Stryktipset,X1X1X1X2XX11X,4305737,28968,1252,246
202008,Stryktipset,2111XX21X1111,8319,167,16,0
202007,Stryktipset,212X22X12X221,1613884,14258,899,229
202006,Stryktipset,X12112X121212,6486,141,0,0
202005,Stryktipset,1X12X2XX11X2X,333333,2846,178,50
202004,Stryktipset,X2XX22X2112X1,1705834,18408,919,186
202003,Stryktipset,XX1X2X1X1X112,3250000,59925,3168,589
202002,Stryktipset,21112X2XX22XX,667558,7171,380,88
202001,Stryktipset,X111X1212X2X1,172490,2581,155,40
201952,Stryktipset,22X1X22112122,105691,892,60,18
201951,Stryktipset,1222121X1X112,313044,2116,139,40
201950,Stryktipset,12X12122X2X1X,10000000,71999,2739,530
201949,Stryktipset,221X112111211,39288,552,38,0
201948,Stryktipset,21121XX221112,543478,1580,81,21
201947,Stryktipset,1X2222221X112,648589,3608,172,38
201946,Stryktipset,2211X1111111X,1596,22,0,0
201945,Stryktipset,X112122X11X12,35101,366,30,0
201944,Stryktipset,2X11122111122,35369,344,23,0
201943,Stryktipset,1XX21XX111112,344368,2115,117,31
201942,Stryktipset,1X1X1X2122111,38498,396,30,0
201941,Stryktipset,2X1112XXX1221,3629,45,0,0
201940,Stryktipset,112X211111111,32794,517,35,0
201939,Stryktipset,XX11112121X2X,289473,2529,131,33
201938,Stryktipset,112XX112X122X,135815,2044,121,33
201937,Stryktipset,11212X221X111,2937829,6025,252,58
201936,Stryktipset,1212X11222X11,6371,97,0,0
201935,Stryktipset,2X111X112X221,132743,924,61,18
201934,Stryktipset,21222X22X2X11,7500000,21163,842,166
201933,Stryktipset,X221X11X11112,51369,393,31,0
201932,Stryktipset,1X1X22X1X1XX1,396871,4293,221,55
201931,Stryktipset,X221122122112,10000000,28970,1798,449
201930,Stryktipset,122211X21XX2X,101674,1262,79,23
201929,Stryktipset,112211X11X112,230403,2157,128,32
201928,Stryktipset,1X12111X1X122,69706,632,45,0
201927,Stryktipset,1XX12X2X22111,64889,556,35,0
201926,Stryktipset,X1X121X112XX2,731110,8497,558,152
201925,Stryktipset,X11211211112X,7226,130,0,0
201924,Stryktipset,121X1212X1XX2,95694,707,49,16
